,optimizer,initializer,regularization,activation_function,best_valid_acc,last_valid_acc,last_train_acc,model,dropout
0,AdamW,RandomNormal,,relu,0.9253333210945129,0.9228333234786987,0.9862962961196899,CNN,0
1,AdamW,RandomNormal,,relu,0.9294999837875366,0.9263333082199097,0.9771666526794434,CNN,0.3
2,AdamW,RandomNormal,,relu,0.9298333525657654,0.9275000095367432,0.9682222008705139,CNN,0.5
3,AdamW,RandomNormal,,tanh,0.9200000166893005,0.9150000214576721,0.9641851782798767,CNN,0
4,AdamW,RandomNormal,,tanh,0.9173333048820496,0.9171666502952576,0.9434444308280945,CNN,0.3
5,AdamW,RandomNormal,,tanh,0.9191666841506958,0.9191666841506958,0.930981457233429,CNN,0.5
6,AdamW,RandomNormal,,sigmoid,0.10716667026281357,0.10133333504199982,0.09937036782503128,CNN,0
7,AdamW,RandomNormal,,sigmoid,0.1028333306312561,0.09733333438634872,0.10064814984798431,CNN,0.3
8,AdamW,RandomNormal,,sigmoid,0.10133333504199982,0.09733333438634872,0.0987592563033104,CNN,0.5
9,AdamW,RandomNormal,,relu,0.9271666407585144,0.9190000295639038,0.9825740456581116,CNN,0
10,AdamW,RandomNormal,,relu,0.9293333292007446,0.9293333292007446,0.9685184955596924,CNN,0.3
11,AdamW,RandomNormal,,relu,0.9233333468437195,0.9208333492279053,0.9551481604576111,CNN,0.5
12,AdamW,RandomNormal,,tanh,0.9003333449363708,0.8983333110809326,0.9067962765693665,CNN,0
13,AdamW,RandomNormal,,tanh,0.9006666541099548,0.9003333449363708,0.8965926170349121,CNN,0.3
14,AdamW,RandomNormal,,tanh,0.8980000019073486,0.8971666693687439,0.8835740685462952,CNN,0.5
15,AdamW,RandomNormal,,sigmoid,0.1028333306312561,0.10199999809265137,0.09792592376470566,CNN,0
16,AdamW,RandomNormal,,sigmoid,0.10716667026281357,0.09333333373069763,0.09783333539962769,CNN,0.3
17,AdamW,RandomNormal,,sigmoid,0.10716667026281357,0.09733333438634872,0.09807407110929489,CNN,0.5
18,AdamW,RandomNormal,,relu,0.9265000224113464,0.9265000224113464,0.9721296429634094,CNN,0
19,AdamW,RandomNormal,,relu,0.9246666431427002,0.921500027179718,0.9515185356140137,CNN,0.3
20,AdamW,RandomNormal,,relu,0.9210000038146973,0.9210000038146973,0.9339814782142639,CNN,0.5
21,AdamW,RandomNormal,,tanh,0.8820000290870667,0.8653333187103271,0.8738333582878113,CNN,0
22,AdamW,RandomNormal,,tanh,0.8849999904632568,0.8725000023841858,0.8624629378318787,CNN,0.3
23,AdamW,RandomNormal,,tanh,0.8668333292007446,0.8668333292007446,0.8307222127914429,CNN,0.5
24,AdamW,RandomNormal,,sigmoid,0.1028333306312561,0.0989999994635582,0.10116666555404663,CNN,0
25,AdamW,RandomNormal,,sigmoid,0.10716667026281357,0.1003333330154419,0.09731481224298477,CNN,0.3
26,AdamW,RandomNormal,,sigmoid,0.10716667026281357,0.09333333373069763,0.09692592918872833,CNN,0.5
27,AdamW,RandomNormal,,relu,0.918833315372467,0.9113333225250244,0.959685206413269,CNN,0
28,AdamW,RandomNormal,,relu,0.9166666865348816,0.9153333306312561,0.9338889122009277,CNN,0.3
29,AdamW,RandomNormal,,relu,0.9104999899864197,0.9006666541099548,0.9167962670326233,CNN,0.5
30,AdamW,RandomNormal,,tanh,0.8523333072662354,0.8523333072662354,0.8420555591583252,CNN,0
31,AdamW,RandomNormal,,tanh,0.8529999852180481,0.8450000286102295,0.8295000195503235,CNN,0.3
32,AdamW,RandomNormal,,tanh,0.8431666493415833,0.831166684627533,0.8056666851043701,CNN,0.5
33,AdamW,RandomNormal,,sigmoid,0.1028333306312561,0.09333333373069763,0.10112962871789932,CNN,0
34,AdamW,RandomNormal,,sigmoid,0.1028333306312561,0.10199999809265137,0.10053703933954239,CNN,0.3
35,AdamW,RandomNormal,,sigmoid,0.1028333306312561,0.09333333373069763,0.09679629653692245,CNN,0.5
